number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_weight_decay,state
77,0.420443587270974,2025-07-12 13:08:49.458859,2025-07-12 13:09:07.837578,0 days 00:00:18.378719,16,0.13848119122758099,0.006923765806169727,7.131329784651273e-05,PRUNED
78,0.3201542912246866,2025-07-12 13:09:07.854909,2025-07-12 13:09:11.475880,0 days 00:00:03.620971,32,0.10742084577951441,0.00036520060588479013,4.860898408522451e-06,PRUNED
79,0.3461909353905497,2025-07-12 13:09:11.493037,2025-07-12 13:09:18.898132,0 days 00:00:07.405095,16,0.12193061052027734,0.009977083012141308,1.9249118366673495e-06,PRUNED
80,0.36354869816779173,2025-07-12 13:09:18.915137,2025-07-12 13:09:26.233136,0 days 00:00:07.317999,16,0.14733674858702453,0.0037329740353190533,6.444507226289852e-06,PRUNED
81,0.4339440694310511,2025-07-12 13:09:26.278129,2025-07-12 13:09:44.639409,0 days 00:00:18.361280,16,0.2883888856214263,0.0013055310940800911,1.3024212225327377e-06,PRUNED
82,0.3317261330761813,2025-07-12 13:09:44.656467,2025-07-12 13:09:48.349377,0 days 00:00:03.692910,16,0.31374320717308507,0.0026925875307793504,2.9548985836079587e-06,PRUNED
83,0.5776277724204436,2025-07-12 13:09:48.366268,2025-07-12 13:12:25.675101,0 days 00:02:37.308833,16,0.12892266684117604,0.0018338882248619794,0.00022656456726180064,COMPLETE
84,0.3326904532304725,2025-07-12 13:12:25.700823,2025-07-12 13:12:29.436683,0 days 00:00:03.735860,16,0.15803134766729804,0.0004865943640943429,0.00031100914762549506,PRUNED
85,0.36644165863066536,2025-07-12 13:12:29.455230,2025-07-12 13:12:36.841109,0 days 00:00:07.385879,16,0.12414934424961716,0.0006757434270530277,0.00016516971513894088,PRUNED
86,0.3394406943105111,2025-07-12 13:12:36.886887,2025-07-12 13:12:40.597365,0 days 00:00:03.710478,16,0.19570542711383598,0.004587325620336734,0.00026351896716633294,PRUNED
87,0.32979749276759884,2025-07-12 13:12:40.617852,2025-07-12 13:12:44.395696,0 days 00:00:03.777844,16,0.10111041409588048,0.0010241172992411496,1.5776038174673342e-05,PRUNED
88,0.3866923818707811,2025-07-12 13:12:44.413010,2025-07-12 13:13:02.712834,0 days 00:00:18.299824,16,0.14221381108131714,0.0021037804761964997,0.0004896021260963808,PRUNED
89,0.29797492767598843,2025-07-12 13:13:02.730914,2025-07-12 13:13:06.389404,0 days 00:00:03.658490,64,0.11063515380188962,0.00023864573028198745,2.3043100945451386e-05,PRUNED
90,0.3153326904532305,2025-07-12 13:13:06.412042,2025-07-12 13:13:10.136372,0 days 00:00:03.724330,16,0.12634808220999846,0.002993120995404639,0.00013078438518404463,PRUNED
91,0.32594021215043395,2025-07-12 13:13:10.184154,2025-07-12 13:13:13.874799,0 days 00:00:03.690645,16,0.329603385661375,0.0018619641906534967,0.0002208446353959024,PRUNED
92,0.3240115718418515,2025-07-12 13:13:13.894034,2025-07-12 13:13:17.620749,0 days 00:00:03.726715,16,0.26728435745608464,0.0014243780900762646,1.518774191683963e-06,PRUNED
93,0.36258437801350046,2025-07-12 13:13:17.641335,2025-07-12 13:13:25.011366,0 days 00:00:07.370031,16,0.13300513926132515,0.001683721593699552,1.2521329374397632e-06,PRUNED
94,0.5891996142719382,2025-07-12 13:13:25.030351,2025-07-12 13:16:27.879656,0 days 00:03:02.849305,16,0.15688489805182282,0.002445148285681725,2.2279594785975346e-06,COMPLETE
95,0.33751205400192863,2025-07-12 13:16:27.903855,2025-07-12 13:16:31.685638,0 days 00:00:03.781783,16,0.1706868191687039,0.002555059781498988,2.1241035641307335e-06,PRUNED
96,0.4175506268081003,2025-07-12 13:16:31.740945,2025-07-12 13:16:56.773576,0 days 00:00:25.032631,32,0.1569813532924083,0.0038406210418269263,3.5219973901272307e-06,PRUNED
97,0.25747348119575697,2025-07-12 13:16:56.792420,2025-07-12 13:17:00.493657,0 days 00:00:03.701237,16,0.14197028151906535,0.0055213240727843525,9.417366249930515e-06,PRUNED
98,0.25458052073288334,2025-07-12 13:17:00.512091,2025-07-12 13:17:04.251481,0 days 00:00:03.739390,16,0.15685923548508832,1.8335350949438476e-05,2.3917674393400777e-06,PRUNED
99,0.29893924783027964,2025-07-12 13:17:04.269270,2025-07-12 13:17:08.064116,0 days 00:00:03.794846,16,0.4246463103673308,0.00034961490676708133,1.210375716238893e-05,PRUNED
